Date,Symbol,Headline,Summary,Link,Source
2026-03-18,DFCC.N0000,DFCC ALOKA PARTNERS WITH CHRYSALIS TO STRENGTHEN WOMEN-LED ENTERPRISES ACROSS SRI LANKA,"DFCC BANK PLC (DFCC BANK), THROUGH ITS WOMEN-FOCUSED PROPOSITION DFCC ALOKA, HAS PARTNERED WITH CHRYSALIS TO EXPAND FINANCIAL ACCESS, BUSINESS CAPACITY, AND MARKET OPPORTUNITIES FOR WOMEN-LED MICRO, S",http://bizenglish.adaderana.lk/dfcc-aloka-partners-with-chrysalis-to-strengthen-women-led-enterprises-across-sri-lanka/,Alt_News
2026-03-18,MELS.N0000,MELSTA HOSPITALS – NITF PARTNERSHIP TO EXPAND HEALTHCARE ACCESS FOR AGRAHARA BENEFICIARIES,MELSTA HOSPITALS – A REPUTED HEALTHCARE PROVIDER SERVING THE COLOMBO AND GAMPAHA DISTRICTS AND A FULLY OWNED SUBSIDIARY OF MELSTACORP PLC – HAS OFFICIALLY ENTERED INTO A TRANSFORMATIVE PARTNERSHIP WIT,http://bizenglish.adaderana.lk/melsta-hospitals-nitf-partnership-to-expand-healthcare-access-for-agrahara-beneficiaries/,Alt_News
2026-03-17,HAYL.N0000,"SRI LANKA’S HAYLEYS FENTONS, INDIA’S JSL WINS BID TO BUILD MANNAR POWER LINE","FOR 2,269.18 MILLION RUPEES (EXCLUDING TAX)
",https://economynext.com/sri-lankas-hayleys-fentons-indias-jsl-wins-bid-to-build-mannar-power-line-264198/,Alt_News
2026-03-17,HAYL.N0000,HAYLEYS MOBILITY INTRODUCES PREMIUM OMODA C9 PHEV," IMPRESSIVE COMBINED DRIVING RANGE OF 1,100 KM HAYLEYS MOBILITY HAS INTRODUCED THE OMODA C9 PHEV AS AN EXCITING EXTENSION TO ITS NEW ENERGY VEHICLE PORTFOLIO, THE PREMIUM OJ (OMODA & JAECOO) RANGE IN ",http://bizenglish.adaderana.lk/hayleys-mobility-introduces-premium-omoda-c9-phev/,Alt_News
2026-03-17,HAYL.N0000,HAYLEYS FIBRE PLC APPOINTS RUWAN RAJAPAKSE AS MANAGING DIRECTOR,"HAYLEYS FIBRE PLC, SRI LANKA’S LEADING MANUFACTURER OF COIR FIBRE PRODUCTS AND THE FLAGSHIP OF THE HAYLEYS GROUP’S ECO SOLUTIONS SECTOR, ANNOUNCED THE APPOINTMENT OF RUWAN RAJAPAKSE AS MANAGING DIRECT",http://bizenglish.adaderana.lk/hayleys-fibre-plc-appoints-ruwan-rajapakse-as-managing-director/,Alt_News
2026-03-17,JKH.N0000,CINNAMON HOTELS & RESORTS HONOURED AT THE TAGS AWARDS 2026,"CINNAMON HOTELS & RESORTS RECEIVED MULTIPLE ACCOLADES AT THE TAGS AWARDS 2026, DIAMOND CHAPTER, MARKING ANOTHER STRONG YEAR FOR REPORTING ACROSS ITS LISTED ENTITIES. JOHN KEELLS HOTELS PLC WAS ALSO NA",http://bizenglish.adaderana.lk/cinnamon-hotels-resorts-honoured-at-the-tags-awards-2026/,Alt_News
2026-03-17,KHL.N0000,CINNAMON HOTELS & RESORTS HONOURED AT THE TAGS AWARDS 2026,"CINNAMON HOTELS & RESORTS RECEIVED MULTIPLE ACCOLADES AT THE TAGS AWARDS 2026, DIAMOND CHAPTER, MARKING ANOTHER STRONG YEAR FOR REPORTING ACROSS ITS LISTED ENTITIES. JOHN KEELLS HOTELS PLC WAS ALSO NA",http://bizenglish.adaderana.lk/cinnamon-hotels-resorts-honoured-at-the-tags-awards-2026/,Alt_News
2026-03-16,DFCC.N0000,DFCC ICONNECT STRENGTHENS DIGITAL BANKING ECOSYSTEM THROUGH STRATEGIC PARTNERSHIP WITH BLUE LOTUS 360,"DFCC BANK PLC (DFCC BANK) HAS FURTHER STRENGTHENED ITS CORPORATE DIGITAL BANKING ECOSYSTEM THROUGH DFCC ICONNECT BY ENTERING INTO A STRATEGIC PARTNERSHIP WITH BLUE LOTUS 360, A LEADING ERP SOLUTIONS P",http://bizenglish.adaderana.lk/dfcc-iconnect-strengthens-digital-banking-ecosystem-through-strategic-partnership-with-blue-lotus-360/,Alt_News
2026-03-16,SAMP.N0000,"SIYAPATHA FINANCE PLC TO ISSUE LKR 3.75 BILLION DEBENTURES, REINFORCING COMMITMENT TO GROWTH","SIYAPATHA FINANCE PLC, THE LARGEST SUBSIDIARY OF SAMPATH BANK PLC AND A PROMINENT LEADER DISTINGUISHED IN SRI LANKA’S NON-BANK FINANCIAL SECTOR, ANNOUNCED ITS DECISION TO RAISE A MAXIMUM OF RS. 3.75 B",http://bizenglish.adaderana.lk/siyapatha-finance-plc-to-issue-lkr-3-75-billion-debentures-reinforcing-commitment-to-growth/,Alt_News
2026-03-16,SPEN.N0000,"AITKEN SPENCE TRAVELS ACHIEVES PRESTIGIOUS GSTC CERTIFICATION, SETTING A NEW BENCHMARK FOR SUSTAINABLE TOURISM IN SRI LANKA","AITKEN SPENCE TRAVELS, SRI LANKA’S LEADING DESTINATION MANAGEMENT COMPANY, IS DELIGHTED TO ANNOUNCE THE ACHIEVEMENT OF THE INTERNATIONALLY RECOGNIZED CERTIFICATION FROM THE GLOBAL SUSTAINABLE TOURISM ",http://bizenglish.adaderana.lk/aitken-spence-travels-achieves-prestigious-gstc-certification-setting-a-new-benchmark-for-sustainable-tourism-in-sri-lanka/,Alt_News
